"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",1,0,700,704,704,704,6330,0.01
"PUT","/addCart",2,0,240,392,239,545,50,0.01
"PUT","/add_product",2,1,420,439,418,461,66,0.01
"PUT","/add_user",1,1,8000,7982,7982,7982,82,0.01
"DELETE","/checkout?cartid=53",5,1,540,887,245,2596,2,0.03
"GET","/collection/*",6,1,530,544,254,819,6555,0.04
"DELETE","/delete_cart?id=54",2,0,240,389,237,541,2,0.01
"DELETE","/delete_cart?name=manygloves&cartid=53",5,0,540,432,229,594,2,0.03
"DELETE","/delete_product?id=243",2,1,420,468,424,512,2,0.01
"DELETE","/delete_user?id=106&pass=aaaaaa&name=james",1,1,1400,1359,1359,1359,2,0.01
"GET","/get_cart",2,0,230,1122,233,2011,871,0.01
"GET","/get_product",2,1,440,440,435,446,3270,0.01
"GET","/get_purchases",5,0,530,432,230,586,2,0.03
"PUT","/get_purchases",0,5,0,0,0,0,0,0.00
"PUT","/get_user",0,2,0,0,0,0,0,0.00
"PUT","/get_userCart",2,0,250,396,249,543,41,0.01
"GET","/get_users",2,0,450,494,447,541,1662,0.01
"GET","/help",12,0,540,735,227,3190,5512,0.08
"GET","/kart",12,0,520,506,227,807,5752,0.08
"GET","/kids1",12,0,520,472,229,568,2445,0.08
"GET","/login",12,0,510,498,226,1144,6232,0.08
"GET","/men",12,0,460,444,227,931,2428,0.08
"GET","/register",12,0,530,469,223,844,6469,0.08
"POST","/update_cart",2,0,230,386,233,540,2,0.01
"POST","/update_product",2,1,420,462,422,503,69,0.01
"POST","/update_purchase",5,0,560,437,230,603,2,0.03
"GET","/women1",12,0,240,349,225,615,2426,0.08
"None","Total",133,15,520,570,226,7982,3255,0.87
